Grupo;Turno;Nombre;Primero;Grado;Familia
1CFSH;D;DAW;1;GRADO SUPERIOR;INFORMATICA
2CFSH;D;DAW;2;GRADO SUPERIOR;INFORMATICA
2CFSC;D;ASIR;2;GRADO SUPERIOR;INFORMATICA
2CFMC;D;SMR_A;2;GRADO MEDIO;INFORMATICA
1CFSC;D;ASIR;1;GRADO SUPERIOR;INFORMATICA
1CFMC;D;S.M.X.;1;GRADO MEDIO;INFORMATICA
1CESCIB;D;CIBER;1;CURSO ESPECIALIZACION;INFORMATICA
1CESIAB;D;IABIG;1;CURSO ESPECIALIZACION;INFORMATICA
2CFSN;S;DAM_SEMI;2;GRADO SUPERIOR;INFORMATICA
1CFSL;S;DAW._SEMIP;1;GRADO SUPERIOR;INFORMATICA
1CFMD;S;SMX_SEMI;1;GRADO MEDIO;INFORMATICA
2CFMH;S;S.M.R_SEMI;2;GRADO MEDIO;INFORMATICA
